,T245 (24 VAC),,,
,,,,
Part,Nominal Value,Example Part,Description,Approx. Price
C1,470uF 50V,Nichicon UHE1H471MHD3,"DC-DC input cap, impedance < 80 mOhms @100kHz",1.30 €
C2,1uF 100V,FG24X7S2A105KRT06,"DC-DC input cap, MLCC",0.60 €
C3,100nF 100V,SR211C104KARTR1,DC-DC cap,0.20 €
C4,100nF 100V,SR211C104KARTR1,DC-DC cap,0.20 €
C5,68uF 16V,Nichicon UHV1V680MED,"DC-DC output cap, impedance 100-200 mOhms @100kHz",0.40 €
C6,100nF 16V,SR211C104KARTR1,Voltage Reference cap,0.20 €
C7,10uF 10V,FG14X7R1A106KRT06 ,Voltage Reference cap,0.50 €
C8,47uF 50V,Rubycon 50YXJ47M6.3X11,Villard Circuit cap,0.30 €
C9,"1nF, 16V",Vishay K102K10X7RH5UH5,Opamp loop cap,0.10 €
C10,"1nF, 16V",Vishay K102K10X7RH5UH5,Amplifier input lowpass cap,0.10 €
C11,"1nF, 16V",Vishay K102K10X7RH5UH5,Opamp loop cap,0.10 €
C12,"1nF, 16V",Vishay K102K10X7RH5UH5,Amplifier input lowpass cap,0.10 €
C13,"100nF, 16V",SR211C104KARTR1,Opamp bypass cap,0.20 €
C14,"10uF, 25V",FK26X7R1E106K ,DC-DC output filter cap,0.60 €
C15,"1uF, 100V",FG24X7S2A105KRT06,DC-DC input filter cap,0.60 €
,,,,
D1,1A 100V,1N4007,Rectifier diode,0.20 €
D2,60V Schottky,SMC SB560TA,"DC-DC freewheeling diode, <0.45V Vf @2.5A",0.40 €
D8,80V,1N3595 ,Villard Circuit diode,0.20 €
D9,15V Zener,1N5245,Gate voltage limiting Z-Diode,0.20 €
D10,15V Zener,1N5245,Gate voltage limiting Z-Diode,0.20 €
D11,,1N3595 ,Thermocouple amplifier clamping diode,0.20 €
D12,,1N3595 ,Thermocouple amplifier clamping diode,0.20 €
D13,1A 10V,1N4007,Reverse current protection when Arduino is USB-powered,0.20 €
,,,,
F1,,,"Fuse holder grid 22,5mm",0.80 €
L1,220 uH,SBC7-221-132 ,DC-DC power inductor,1.80 €
L2,2.2uH,B78108S1222K000,DC-DC output filter inductor,0.30 €
L3,2.2uH,B78108S1222K000,DC-DC input filter cap inductor,0.30 €
MOV,47V,Panasonic ERZ-V10D470,"Varistor, 7.5 mm lead spacing",0.30 €
,,,,
Q1,60V 15A,STF100N6F7 ,N-channel mosfet <10 mOhm Rds(on) if without heatsink,1.50 €
Q2,60V 15A,STF100N6F7 ,N-channel mosfet <10 mOhm Rds(on) if without heatsink,1.50 €
Q3,80V PNP,KSA916,PNP Transistor 80V,0.40 €
Q4,40V NPN,2N3904,NPN Transistor,0.30 €
Q5,40V NPN,2N3904,NPN Transistor,0.30 €
Q6,40V PNP,2N3906,PNP Transistor,0.30 €
,,,,
NTC,100k,TT7-100KC3-3 ,Thermistor 100k,0.50 €
R1,1M,VR37000001004JR500 ,"Impulse resistant, GND to physical earth connection",0.40 €
R2,47k,RNF14FTD47K0,1/4W 0207,0.10 €
R3,10k,RNMF14FTC10K0,1/4W 0207,0.10 €
R4,56k,MF0207FTE52-56K,1/4W 0207,0.10 €
R5,10k,RNMF14FTC10K0,1/4W 0207,0.10 €
R6,1k,RNF14FTD1K00,1/4W 0207,0.10 €
R7,100k,RNMF14FTC100K,1/4W 0207,0.10 €
R8,4.7k,MFR50SFTE52-4K7 ,1/4W 0207,0.10 €
R9,4.7k,MFR50SFTE52-4K7 ,1/4W 0207,0.10 €
R10,1k,RNF14FTD1K00,1/4W 0207,0.10 €
R11,1k,RNF14FTD1K00,1/4W 0207,0.10 €
R12,470k,MFR50SFTE52-470K ,1/4W 0207,0.10 €
R13,47k,RNF14FTD47K0,1/4W 0207,0.10 €
R14,1k,RNF14FTD1K00,1/4W 0207,0.10 €
R15,4.7k,MFR50SFTE52-4K7 ,1/4W 0207,0.10 €
R16,220k,MF0207FTE52-220K ,"1/4W 1% 0207, sets thermocouple amplifier gain",0.10 €
R17,1k,RNF14FTD1K00,"1/4W 1% 0207, sets thermocouple amplifier gain",0.10 €
R18,4.7k,MFR50SFTE52-4K7 ,1/4W 0207,0.10 €
R19,47k,RNF14FTD47K0,"1/4W 1% 0207, sets current sense gain",0.10 €
R20,1k,RNF14FTD1K00,"1/4W 1% 0207, sets current sense gain",0.10 €
R21,10k,RNMF14FTC10K0,1/4W 0207,0.10 €
R22,100k,RNMF14FTC100K,1/4W 0207,0.10 €
R23,10k,RNMF14FTC10K0,1/4W 0207,0.10 €
R24,100k,RNMF14FTC100K,1/4W 0207,0.10 €
R28,1k,RNF14FTD1K00,1/4W 0207,0.10 €
,,,,
TVS1,43V,Littelfuse P4KE43CA,"Bidirectional TVS diode, mosfet ESD protection",0.40 €
TVS2,7.5V,Littelfuse P4KE7.5CA,"Bidirectional TVS diode, sleep sensor ESD protection",0.50 €
,,,,
U1,,ARDUINO NANO A000005,Microcontroller,8.00 €
U2,,MAX5035DUPA+,"DC-DC Converter, 76V Vin, 1A Iout",4.10 €
U3,,LT1078CN8 ,"Rail-to-rail input Opamp, low offset, input CM includes ground",5.70 €
U4,,LM4041A12LP,Shunt voltage reference,0.70 €
OC1,,4N35M,"Optocoupler, 6 pin DIP",0.50 €
,,,,
X2,,Weidmuller 1760500000,"PCB terminal 5,08 mm pitch",0.70 €
X3,,Weidmuller 1760500000,"PCB terminal 5,08 mm pitch",0.70 €
,,,,
CONN,,M22-2511005 ,Pin header,0.10 €
CONN,,PPPC151LFBN-RC ,Arduino connector,0.40 €
FUSE,5A 250V FB,0217005.HXP ,5x20 5A 250V fast blow,0.50 €
SHUNT,10 mOhm,MSR1-0R01F1 ,10 mOhm Shunt for current measuring,0.80 €
,,,,
,,,,
,,,,41.50 €
